Turn,System llh,MLM llh,USR DLcontext,USR DLfact,Overall Human Rating,Interesting,Engaging,Specific,Relevant,Correct,Semantically Appropriate,Understandable,Fluent,Total nodes,Total edges,Average degree,Average degree centrality,Average closeness,Average degree connectivity,Average assortativity,Average node connectivity,Number of components,Number of strong components,Centrality entropy,Closeness entropy,Sparseness,Total explicit triples,Total classes,Total properties,Total instances,Total entities,Property class ratio,Average population,Class property ratio,Attribute richness,Inheritance richness,Relationship richness,Total concept assertions,Total role assertions,Total general concept inclusions,Total axioms,Total aBox axioms,Total tBox axioms,Total world instances,Total semantic statements,Total perspectives,Total mentions,Total interactions,Total utterances,Total sources
20.0,0.419940818923113,0.689799220930002,0.99765116,0.99653333,2.5,2.0,3.5,2.5,2.5,2.5,2.0,2.5,1.5,3022.0,8271.0,5.473858371939113,0.0018119359059712392,0.0017299623388495658,0.8992860656021471,-0.12233385796591738,0.0,3.0,-0.12233385796591738,10.151578673573162,2.74341006278012,0.0009045731697969577,8271.0,294.0,267.0,1424.0,1718.0,0.9081632653061225,4.843537414965986,1.101123595505618,0.14232209737827714,2.292134831460674,0.3037542662116041,1424.0,599.0,644.0,3030.0,2023.0,1007.0,12.0,9.0,7.0,7.0,,7.0,2.0
21.0,0.2818448228449455,0.573807271098719,0.99775696,0.99721885,0.0,,,,,,,,,3022.0,8271.0,5.473858371939113,0.0018119359059712392,0.0017299623388495658,0.8992860656021471,-0.12233385796591738,0.0,3.0,-0.12233385796591738,10.151578673573162,2.74341006278012,0.0009045731697969577,8271.0,294.0,267.0,1424.0,1718.0,0.9081632653061225,4.843537414965986,1.101123595505618,0.14232209737827714,2.292134831460674,0.3037542662116041,1424.0,599.0,644.0,3030.0,2023.0,1007.0,12.0,9.0,7.0,7.0,,7.0,2.0
22.0,0.0,0.16126361494648,0.9976097,0.99724585,0.0,,,,,,,,,3022.0,8271.0,5.473858371939113,0.0018119359059712392,0.0017299623388495658,0.8992860656021471,-0.12233385796591738,0.0,3.0,-0.12233385796591738,10.151578673573162,2.74341006278012,0.0009045731697969577,8271.0,294.0,267.0,1424.0,1718.0,0.9081632653061225,4.843537414965986,1.101123595505618,0.14232209737827714,2.292134831460674,0.3037542662116041,1424.0,599.0,644.0,3030.0,2023.0,1007.0,12.0,9.0,7.0,7.0,,7.0,2.0
23.0,0.292216110114746,0.70164372910495,0.99762064,0.9972391,0.0,,,,,,,,,3022.0,8271.0,5.473858371939113,0.0018119359059712392,0.0017299623388495658,0.8992860656021471,-0.12233385796591738,0.0,3.0,-0.12233385796591738,10.151578673573162,2.74341006278012,0.0009045731697969577,8271.0,294.0,267.0,1424.0,1718.0,0.9081632653061225,4.843537414965986,1.101123595505618,0.14232209737827714,2.292134831460674,0.3037542662116041,1424.0,599.0,644.0,3030.0,2023.0,1007.0,12.0,9.0,7.0,7.0,,7.0,2.0
24.0,0.0,0.155022501972748,0.9968337,0.99722445,0.0,,,,,,,,,3037.0,8318.0,5.477774119196575,0.0018042734252953147,0.0017509914140619947,0.9058159067237757,-0.12426573075566379,0.0,3.0,-0.12426573075566379,10.161755752232448,2.74466378614296,0.0009007554614805067,8318.0,294.0,267.0,1441.0,1735.0,0.9081632653061225,4.901360544217687,1.101123595505618,0.14232209737827714,2.292134831460674,0.3037542662116041,1441.0,619.0,644.0,3067.0,2060.0,1007.0,13.0,11.0,8.0,8.0,0.0,8.0,3.0
25.0,0.36612082699257753,0.45787389691436,0.9965136,0.9971902,3.5,1.5,3.5,1.0,2.5,3.5,4.0,4.0,4.0,3037.0,8318.0,5.477774119196575,0.0018042734252953147,0.0017509914140619947,0.9058159067237757,-0.12426573075566379,0.0,3.0,-0.12426573075566379,10.161755752232448,2.74466378614296,0.0009007554614805067,8318.0,294.0,267.0,1441.0,1735.0,0.9081632653061225,4.901360544217687,1.101123595505618,0.14232209737827714,2.292134831460674,0.3037542662116041,1441.0,619.0,644.0,3067.0,2060.0,1007.0,13.0,11.0,8.0,8.0,,8.0,3.0
26.0,0.474437872784383,0.522024855008831,0.99818265,0.996986,0.0,,,,,,,,,3045.0,8345.0,5.481116584564861,0.001800629626992398,0.0017701060118419467,0.9089037443001968,-0.1265005324737853,0.0,3.0,-0.1265005324737853,10.167144113706625,2.7454646489566,0.000898940630552657,8345.0,294.0,267.0,1447.0,1741.0,0.9081632653061225,4.921768707482993,1.101123595505618,0.14232209737827714,2.292134831460674,0.3037542662116041,1447.0,634.0,644.0,3088.0,2081.0,1007.0,13.0,11.0,8.0,9.0,0.0,9.0,3.0
27.0,0.48564651217969046,0.6762102071218801,0.99758434,0.9968189,2.0,2.0,2.0,2.5,3.0,2.0,2.0,2.5,2.0,3045.0,8345.0,5.481116584564861,0.001800629626992398,0.0017701060118419467,0.9089037443001968,-0.1265005324737853,0.0,3.0,-0.1265005324737853,10.167144113706625,2.7454646489566,0.000898940630552657,8345.0,294.0,267.0,1447.0,1741.0,0.9081632653061225,4.921768707482993,1.101123595505618,0.14232209737827714,2.292134831460674,0.3037542662116041,1447.0,634.0,644.0,3088.0,2081.0,1007.0,13.0,11.0,8.0,9.0,,9.0,3.0
28.0,0.0,0.17531765500352198,0.99775445,0.9966876,0.0,,,,,,,,,3061.0,8387.0,5.479908526625286,0.0017908197799429038,0.0017815464709745627,0.9139612962325141,-0.12755688879939572,0.0,3.0,-0.12755688879939572,10.176970207399021,2.746667462771994,0.0008940501003178216,8387.0,294.0,267.0,1460.0,1754.0,0.9081632653061225,4.965986394557823,1.101123595505618,0.14232209737827714,2.292134831460674,0.3037542662116041,1460.0,653.0,644.0,3120.0,2113.0,1007.0,15.0,12.0,9.0,10.0,0.0,10.0,3.0
29.0,0.47374607187794304,0.637297794111416,0.99740607,0.99693435,2.5,2.5,3.5,3.0,3.5,2.0,2.0,2.5,1.5,3061.0,8387.0,5.479908526625286,0.0017908197799429038,0.0017815464709745627,0.9139612962325141,-0.12755688879939572,0.0,3.0,-0.12755688879939572,10.176970207399021,2.746667462771994,0.0008940501003178216,8387.0,294.0,267.0,1460.0,1754.0,0.9081632653061225,4.965986394557823,1.101123595505618,0.14232209737827714,2.292134831460674,0.3037542662116041,1460.0,653.0,644.0,3120.0,2113.0,1007.0,15.0,12.0,9.0,10.0,,10.0,3.0
30.0,0.42834526589913546,0.603069299915993,0.9982562,0.7253548,0.0,,,,,,,,,3074.0,8426.0,5.482108002602472,0.0017839596493987868,0.0018043141200070488,0.918951902021908,-0.1292386220533892,0.0,3.0,-0.1292386220533892,10.185327005581254,2.7476536041667283,0.0008906313958572941,8426.0,294.0,267.0,1471.0,1765.0,0.9081632653061225,5.003401360544218,1.101123595505618,0.14232209737827714,2.292134831460674,0.3037542662116041,1471.0,673.0,644.0,3151.0,2144.0,1007.0,16.0,13.0,10.0,11.0,0.0,11.0,3.0
31.0,0.33538241193865703,0.5312667722493436,0.99762964,0.9967776,1.5,2.0,3.0,2.5,1.0,1.5,1.5,2.5,1.5,3074.0,8426.0,5.482108002602472,0.0017839596493987868,0.0018043141200070488,0.918951902021908,-0.1292386220533892,0.0,3.0,-0.1292386220533892,10.185327005581254,2.7476536041667283,0.0008906313958572941,8426.0,294.0,267.0,1471.0,1765.0,0.9081632653061225,5.003401360544218,1.101123595505618,0.14232209737827714,2.292134831460674,0.3037542662116041,1471.0,673.0,644.0,3151.0,2144.0,1007.0,16.0,13.0,10.0,11.0,,11.0,3.0
32.0,0.0,0.40595203120685697,0.997818,0.9964198,0.0,,,,,,,,,3074.0,8426.0,5.482108002602472,0.0017839596493987868,0.0018043141200070488,0.918951902021908,-0.1292386220533892,0.0,3.0,-0.1292386220533892,10.185327005581254,2.7476536041667283,0.0008906313958572941,8426.0,294.0,267.0,1471.0,1765.0,0.9081632653061225,5.003401360544218,1.101123595505618,0.14232209737827714,2.292134831460674,0.3037542662116041,1471.0,673.0,644.0,3151.0,2144.0,1007.0,16.0,13.0,10.0,11.0,,11.0,3.0
33.0,0.036430212179316995,0.359055536244346,0.9976862,0.99625534,1.5,1.0,1.0,1.0,1.0,1.5,1.5,3.0,3.0,3074.0,8426.0,5.482108002602472,0.0017839596493987868,0.0018043141200070488,0.918951902021908,-0.1292386220533892,0.0,3.0,-0.1292386220533892,10.185327005581254,2.7476536041667283,0.0008906313958572941,8426.0,294.0,267.0,1471.0,1765.0,0.9081632653061225,5.003401360544218,1.101123595505618,0.14232209737827714,2.292134831460674,0.3037542662116041,1471.0,673.0,644.0,3151.0,2144.0,1007.0,16.0,13.0,10.0,11.0,,11.0,3.0
34.0,0.1227259039939425,0.2810569751624745,0.9973731,0.2887125,0.0,,,,,,,,,3086.0,8463.0,5.484769928710304,0.001777883283212416,0.0018292426641016686,0.9236223664957294,-0.13177313998843665,0.0,3.0,-0.13177313998843665,10.192328214337692,2.748694597060092,0.0008876035397456958,8463.0,294.0,267.0,1481.0,1775.0,0.9081632653061225,5.037414965986395,1.101123595505618,0.14232209737827714,2.292134831460674,0.3037542662116041,1481.0,693.0,644.0,3181.0,2174.0,1007.0,16.0,14.0,11.0,12.0,0.0,12.0,3.0
